iter	Precision	Logloss
0	0.7038597547	0.6812566744
1	0.6991843743	0.6704916277
2	0.6866311226	0.6609559719
3	0.7032581195	0.65214913
4	0.7051037733	0.6449439599
5	0.7080500894	0.6382616597
6	0.7101017187	0.6319963311
7	0.7159972819	0.6272122603
8	0.7225527901	0.6215223889
9	0.7312675428	0.6166722362
10	0.7396838509	0.6116853403
11	0.7462430718	0.6068990117
12	0.7502113271	0.6038483311
13	0.7454220124	0.6004343483
14	0.7470905478	0.5975734249
15	0.7501952641	0.594186724
16	0.75376692	0.5915293056
17	0.7553441458	0.5886972552
18	0.7539954338	0.5862201806
19	0.7551465524	0.5840879567
20	0.7568873296	0.5818917488
21	0.7578196872	0.5797208265
22	0.7584415584	0.5778275752
23	0.7591713922	0.5763464645
24	0.7586868881	0.5748580078
25	0.7594136246	0.5733134958
26	0.7603420384	0.5716259822
27	0.7601338359	0.570199796
28	0.7595373727	0.5685890307
29	0.7593552101	0.5674644412
30	0.7614859391	0.5661520378
31	0.7635795685	0.5646693102
32	0.7636138853	0.5637694329
33	0.763594068	0.5626173373
34	0.7655604477	0.561714861
35	0.7659186563	0.5608847186
36	0.7665464697	0.5597990652
37	0.7665349195	0.5589690927
38	0.7676146753	0.5580367772
39	0.7695011227	0.5569987638
40	0.7708520354	0.5558229176
41	0.771255337	0.5550720441
42	0.770845481	0.5541270708
43	0.7698105914	0.5527956909
44	0.7704841713	0.5523573722
45	0.7705290112	0.5514294812
46	0.7719522097	0.5506994567
47	0.7712781346	0.5499650558
48	0.7722216849	0.5495488947
49	0.7727500869	0.5484861156
50	0.7730586738	0.547896213
51	0.7742632727	0.547227274
52	0.7744387007	0.5467587257
53	0.7750578258	0.5460768892
54	0.7756938945	0.5456155095
55	0.7755094165	0.5450985572
56	0.7768394262	0.5444536341
57	0.7764406387	0.5440275813
58	0.7770192085	0.5436131737
59	0.7781447361	0.5429065262
60	0.7785935085	0.5424097097
61	0.7790047769	0.5421630256
62	0.7800429808	0.541815353
63	0.7809619899	0.5413904932
64	0.7803574541	0.5406961823
65	0.7810715046	0.5403110352
66	0.7827516195	0.5394741057
67	0.7828947368	0.5391446394
68	0.7827981032	0.5387134815
69	0.7829930135	0.5382562262
70	0.7828117161	0.5377624779
71	0.7841205448	0.5372885874
72	0.7844502466	0.5369325999
73	0.7834261838	0.5363365845
74	0.7836080799	0.5357116859
75	0.7836209892	0.5351532263
76	0.7840074061	0.5347866371
77	0.7847520669	0.534286591
78	0.7849100183	0.5338393249
79	0.7852074078	0.5334660661
80	0.7851032676	0.5331203777
81	0.7855822551	0.5328610892
82	0.7853261917	0.5321740524
83	0.7852354165	0.531982002
84	0.786007675	0.531601966
85	0.7859161971	0.5309654885
86	0.7864974033	0.5305781391
87	0.7865017219	0.530184639
88	0.7865708356	0.5298746579
89	0.7873381295	0.5295637656
90	0.7875647668	0.5292719908
91	0.7877230987	0.5290550848
92	0.7877323206	0.5285151693
93	0.7883530901	0.5282405387
94	0.7887923595	0.5278855219
95	0.7887923595	0.5276244011
96	0.78870646	0.5272178953
97	0.7881386757	0.5268784435
98	0.7886936067	0.5266555769
99	0.7886031169	0.5265749936
100	0.7891817452	0.5263131427
101	0.7889101338	0.5261422344
102	0.7887743983	0.5256571776
103	0.7889101338	0.525311605
104	0.7897153352	0.5250693607
105	0.7899615818	0.5248335404
106	0.7907190619	0.5246608364
107	0.790465441	0.5243808613
108	0.7912609286	0.524015968
109	0.7917383821	0.5237583484
110	0.7921190189	0.5234275916
111	0.7923863506	0.5229478289
112	0.7924824105	0.5224742506
113	0.7923518164	0.5224589136
114	0.7922323423	0.5221392327
115	0.7920962199	0.5219899732
116	0.7924535508	0.5217979955
117	0.7925154498	0.5214433655
118	0.7929574241	0.5212009793
119	0.7933480815	0.521033631
120	0.7933540621	0.5208614885
121	0.7936144647	0.520532908
122	0.7930186918	0.5202359764
123	0.793620512	0.5200120676
124	0.7938870128	0.5196654024
125	0.7941350316	0.5193325015
126	0.7940957721	0.5191325408
127	0.7943086325	0.5189325909
