iter	Passed	Remaining
0	17	20483
1	33	19826
2	45	18314
3	60	18188
4	75	18020
5	143	28522
6	158	27043
7	168	25115
8	180	23908
9	195	23228
10	208	22538
11	224	22220
12	244	22291
13	263	22290
14	283	22395
15	301	22332
16	314	21917
17	328	21544
18	346	21538
19	365	21567
20	381	21394
21	395	21151
22	409	20960
23	425	20836
24	442	20783
25	459	20740
26	477	20761
27	500	20949
28	517	20889
29	530	20695
30	543	20492
31	557	20339
32	571	20207
33	584	20056
34	598	19917
35	611	19781
36	624	19636
37	640	19594
38	661	19683
39	679	19718
40	695	19650
41	707	19506
42	723	19466
43	739	19421
44	754	19365
45	769	19308
46	783	19218
47	797	19150
48	814	19131
49	830	19111
50	846	19077
51	864	19082
52	882	19092
53	899	19083
54	916	19077
55	933	19073
56	950	19051
57	963	18975
58	978	18926
59	993	18884
60	1009	18849
61	1023	18787
62	1038	18734
63	1052	18677
64	1066	18626
65	1082	18606
66	1098	18568
67	1113	18529
68	1131	18543
69	1144	18467
70	1158	18427
71	1173	18384
72	1188	18350
73	1204	18320
74	1219	18288
75	1235	18274
76	1252	18270
77	1271	18293
78	1288	18286
79	1302	18235
80	1316	18193
81	1330	18137
82	1346	18115
83	1363	18111
84	1376	18060
85	1389	17995
86	1403	17948
87	1417	17908
88	1430	17860
89	1445	17822
90	1464	17843
91	1481	17842
92	1498	17840
93	1513	17806
94	1529	17788
95	1542	17739
96	1557	17711
97	1569	17653
98	1583	17605
99	1590	17494
100	1602	17438
101	1614	17382
102	1627	17335
103	1641	17302
104	1655	17267
105	1667	17212
106	1681	17180
107	1698	17171
108	1714	17163
109	1730	17147
110	1745	17121
111	1761	17110
112	1775	17076
113	1784	17002
114	1799	16976
115	1814	16960
116	1827	16916
117	1840	16878
118	1854	16846
119	1868	16820
120	1884	16806
121	1897	16766
122	1913	16752
123	1928	16732
124	1942	16704
125	1956	16678
126	1970	16646
127	1985	16631
128	1999	16596
129	2010	16548
130	2023	16515
131	2037	16486
132	2043	16393
133	2057	16365
134	2071	16341
135	2092	16368
136	2113	16399
137	2121	16328
138	2136	16305
139	2151	16290
140	2167	16279
141	2184	16274
142	2198	16251
143	2213	16229
144	2227	16203
145	2240	16176
146	2253	16141
147	2267	16119
148	2283	16106
149	2297	16084
150	2313	16069
151	2330	16068
152	2346	16060
153	2361	16036
154	2375	16013
155	2391	16003
156	2405	15980
157	2417	15945
158	2431	15919
159	2444	15890
160	2459	15872
161	2474	15855
162	2488	15830
163	2499	15790
164	2514	15769
165	2528	15747
166	2544	15736
167	2560	15731
168	2576	15716
169	2590	15692
170	2604	15675
171	2618	15652
172	2630	15618
173	2644	15594
174	2657	15568
175	2671	15540
176	2685	15522
177	2700	15502
178	2712	15474
179	2725	15446
180	2739	15425
181	2756	15420
182	2773	15412
183	2788	15396
184	2802	15373
185	2818	15365
186	2832	15343
187	2848	15331
188	2864	15321
189	2878	15299
190	2889	15265
191	2903	15244
192	2918	15229
193	2933	15212
194	2950	15205
195	2965	15189
196	2982	15187
197	2998	15175
198	3013	15160
199	3029	15149
200	3045	15135
201	3059	15117
202	3074	15101
203	3086	15070
204	3094	15018
205	3113	15024
206	3134	15034
207	3148	15016
208	3164	15006
209	3182	15004
210	3198	14993
211	3214	14981
212	3231	14973
213	3247	14961
214	3264	14954
215	3280	14944
216	3294	14925
217	3309	14906
218	3323	14885
219	3338	14870
220	3353	14854
221	3365	14827
222	3381	14814
223	3402	14823
224	3414	14798
225	3429	14780
226	3444	14765
227	3459	14748
228	3474	14733
229	3490	14720
230	3505	14706
231	3521	14693
232	3536	14678
233	3555	14677
234	3571	14665
235	3588	14660
236	3609	14666
237	3624	14648
238	3639	14633
239	3657	14629
240	3673	14616
241	3686	14595
242	3701	14578
243	3716	14559
244	3730	14542
245	3745	14524
246	3764	14525
247	3779	14506
248	3794	14492
249	3808	14470
250	3828	14476
251	3846	14470
252	3862	14458
253	3876	14436
254	3888	14410
255	3903	14394
256	3918	14378
257	3932	14356
258	3946	14340
259	3962	14326
260	3977	14308
261	3992	14294
262	4009	14286
263	4029	14286
264	4047	14279
265	4064	14271
266	4080	14260
267	4100	14260
268	4116	14247
269	4138	14254
270	4159	14259
271	4179	14259
272	4200	14262
273	4220	14261
274	4242	14268
275	4264	14275
276	4281	14266
277	4309	14292
278	4330	14296
279	4354	14306
280	4374	14308
281	4394	14304
282	4411	14295
283	4429	14287
284	4451	14292
285	4467	14275
286	4486	14272
287	4503	14262
288	4521	14254
289	4539	14244
290	4557	14235
291	4576	14232
292	4597	14231
293	4612	14214
294	4626	14194
295	4644	14183
296	4660	14168
297	4674	14149
298	4689	14131
299	4703	14110
300	4718	14091
301	4732	14070
302	4747	14055
303	4763	14041
304	4777	14020
305	4790	13996
306	4804	13975
307	4818	13955
308	4834	13940
309	4852	13930
310	4866	13909
311	4880	13890
312	4897	13878
313	4910	13855
314	4924	13834
315	4935	13807
316	4949	13787
317	4963	13766
318	4976	13744
319	4991	13726
320	5005	13705
321	5016	13678
322	5030	13657
323	5044	13639
324	5061	13626
325	5075	13606
326	5090	13589
327	5105	13572
328	5118	13551
329	5130	13526
330	5144	13507
331	5158	13486
332	5173	13469
333	5187	13451
334	5200	13427
335	5216	13413
336	5229	13391
337	5245	13378
338	5262	13366
339	5281	13359
340	5300	13351
341	5319	13344
342	5335	13329
343	5350	13313
344	5366	13298
345	5380	13280
346	5397	13267
347	5413	13253
348	5425	13228
349	5440	13211
350	5453	13191
351	5469	13176
352	5486	13163
353	5503	13152
354	5519	13138
355	5533	13119
356	5547	13099
357	5560	13078
358	5572	13053
359	5585	13032
360	5598	13011
361	5614	12995
362	5627	12976
363	5641	12957
364	5654	12935
365	5668	12917
366	5683	12899
367	5698	12884
368	5714	12868
369	5733	12861
370	5753	12855
371	5769	12842
372	5783	12822
373	5796	12802
374	5811	12784
375	5826	12767
376	5840	12749
377	5855	12732
378	5871	12719
379	5884	12698
380	5901	12685
381	5920	12677
382	5935	12661
383	5948	12639
384	5962	12622
385	5976	12602
386	5989	12583
387	6003	12564
388	6018	12548
389	6033	12531
390	6047	12511
391	6068	12508
392	6086	12498
